[32m[I 2022-10-19 21:24:26,992][0m A new study created in memory with name: no-name-b979582a-6232-42e5-b71b-3a2464e7b091[0m

total_number_of_episodes = 20, number_of_timesteps=20000, per_episode_reward = -569.05, episode_reward_trend_value=0.0
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 329, in get_a3c_act
    self.past_action[self.t] = action[0].detach()
KeyboardInterrupt

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    import cProfile
NameError: name 'BrokenBarrierError' is not defined
Process Process-42:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    if profile:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    if use_shared_memory:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 146, in train_loop
    while True:
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 283, in act
    return self._act_train(obs)
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 315, in _act_train
    action = self.get_a3c_act(pout)
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 328, in get_a3c_act
    action = pout.sample()
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/distributions/independent.py", line 85, in sample
    return self.base_dist.sample(sample_shape)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/distributions/normal.py", line 64, in sample
    return torch.normal(self.loc.expand(shape), self.scale.expand(shape))
KeyboardInterrupt

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    import cProfile
NameError: name 'BrokenBarrierError' is not defined
Process Process-41:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    if profile:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    if use_shared_memory:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 148, in train_loop
    a = agent.act(obs)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/gym/core.py", line 327, in step
    observation, reward, done, info = self.env.step(action)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/gym/wrappers/time_limit.py", line 17, in step
    observation, reward, done, info = self.env.step(action)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/gym/wrappers/order_enforcing.py", line 13, in step
    observation, reward, done, info = self.env.step(action)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/gym/envs/mujoco/half_cheetah.py", line 13, in step
    self.do_simulation(action, self.frame_skip)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/gym/envs/mujoco/mujoco_env.py", line 135, in do_simulation
    if np.array(ctrl).shape != self.action_space.shape:
KeyboardInterrupt

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    import cProfile
NameError: name 'BrokenBarrierError' is not defined
Process Process-43:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    if profile:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    if use_shared_memory:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 154, in train_loop
    episode_len += 1
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 294, in observe
    self._observe_train(obs, reward, done, reset)
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 351, in _observe_train
    self.update(statevar)
  File "/home/jeffhykin/repos/bizav2/pfrl/agents/a3c.py", line 176, in update
    _, vout = self.model(statevar)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1110, in _call_impl
    return forward_call(*input, **kwargs)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/container.py", line 141, in forward
    input = module(input)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1110, in _call_impl
    return forward_call(*input, **kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/nn/branched.py", line 30, in forward
    return tuple(mod(*args, **kwargs) for mod in self.child_modules)
  File "/home/jeffhykin/repos/bizav2/pfrl/nn/branched.py", line 30, in <genexpr>
    return tuple(mod(*args, **kwargs) for mod in self.child_modules)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1110, in _call_impl
    return forward_call(*input, **kwargs)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/container.py", line 141, in forward
    input = module(input)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1110, in _call_impl
    return forward_call(*input, **kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/policies/gaussian_policy.py", line 57, in forward
    torch.distributions.Normal(loc=mean, scale=torch.sqrt(var)), 1
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/distributions/normal.py", line 50, in __init__
    super(Normal, self).__init__(batch_shape, validate_args=validate_args)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/torch/distributions/distribution.py", line 54, in __init__
    if not valid.all():
KeyboardInterrupt

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    import cProfile
NameError: name 'BrokenBarrierError' is not defined
Traceback (most recent call last):
  File "./main/0_hyp_tuning.py", line 63, in <module>
    study.optimize(objective, gc_after_trial=True)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/optuna/study/study.py", line 419, in optimize
    _optimize(
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/optuna/study/_optimize.py", line 66, in _optimize
    _optimize_sequential(
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/optuna/study/_optimize.py", line 160, in _optimize_sequential
    frozen_trial = _run_trial(study, func, catch)
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/optuna/study/_optimize.py", line 234, in _run_trial
    raise func_err
  File "/home/jeffhykin/.local/lib/python3.8/site-packages/optuna/study/_optimize.py", line 196, in _run_trial
    value_or_values = func(trial)
  File "./main/0_hyp_tuning.py", line 49, in objective
    fitness_value = np.round(train_a3c.train_a3c(args), 2)
  File "/home/jeffhykin/repos/bizav2/examples/atari/reproduction/a3c/train_a3c.py", line 263, in train_a3c
    experiments.train_agent_async(
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 596, in train_agent_async
    
  File "/home/jeffhykin/repos/bizav2/pfrl/utils/async_.py", line 28, in run_async
    each_process.join()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 149, in join
    res = self._popen.wait(timeout)
  File "/usr/lib/python3.8/multiprocessing/popen_fork.py", line 47, in wait
    return self.poll(os.WNOHANG if timeout == 0.0 else 0)
  File "/usr/lib/python3.8/multiprocessing/popen_fork.py", line 27, in poll
    pid, sts = os.waitpid(self.pid, flag)
KeyboardInterrupt
